freelunch,name,ell,dbn,black,asian,female,year,hisp,sped,male,white
92.4,PS 109 SEDGWICK                                 ,25.6,09X109,24.9,0.2,48.6,2011-2012,74,13.5,51.4,0.8
86.5,PS 110 THEODORE SCHOENFELD                      ,8.9,09X110,51.3,0.4,47.6,2011-2012,46.7,20.2,52.4,0.9
90.6,PS 114 LUIS LLORENS TORRES CHL                  ,37,09X114,17.9,3.4,48.3,2011-2012,76.9,12.4,51.7,0.7
88.1,I.S.117 JOSEPH H WADE                           ,31.9,09X117,20.3,1.3,47.5,2011-2012,77.2,22.9,52.5,0.4
89.8,PS 126 DR MARJORIE H DUNBAR                     ,22.7,09X126,27.5,0,51.8,2011-2012,72,13.9,48.2,0.5
84.7,MOTT HALL III                                   ,7.9,09X128,32.1,2.7,55.6,2011-2012,64.4,11.8,44.4,0.3
89,PS 132 GARRET A MORGAN                          ,22.3,09X132,44.2,0.2,44.9,2011-2012,54.2,26,55.1,0.7
86.1,JHS 145 ARTURO TOSCANINNI                       ,36.1,09X145,29.5,2.3,47.6,2011-2012,67,21.6,52.4,0.8
98.5,PS 163 ARTHUR A SCHOMBURG                       ,38.4,09X163,30.7,0.3,49.6,2011-2012,65.8,15,50.4,0.4
81.8,PS 170                                          ,29.3,09X170,22.4,1.5,49.4,2011-2012,73.4,12,50.6,1.5
99.1,P.S. 199X THE SHAKESPEARE SCHOOL                ,23.3,09X199,34.2,0.1,48.7,2011-2012,65.3,13.3,51.3,0.3
89.1,PS 204 MORRIS HEIGHTS                           ,14,09X204,32.5,0,52.2,2011-2012,65.8,13.2,47.8,0.2
87.1,KAPPA                                           ,11.1,09X215,44,7.4,57.8,2011-2012,46.9,8.6,42.2,1
82.4,P/IS 218 R HERNANDEZ DUAL LANG                  ,36.8,09X218,8.1,3.9,53.3,2011-2012,87.5,12.7,46.7,0.2
94.6,IS 219 NEW VENTURE SCHOOL                       ,20,09X219,42.6,0.5,47.6,2011-2012,56.9,27.2,52.4,0
83.9,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL        ,29.3,09X227,27.9,1.1,49.9,2011-2012,69.3,21.1,50.1,0.8
94.4,I S 229 ROLAND PATTERSON                        ,20.5,09X229,48.6,0,47.7,2011-2012,50,30,52.3,0.5
100,PS 230 DR ROLAND N PATTERSON                    ,20,09X230,48.1,0,53.1,2011-2012,49.1,13.8,46.9,0.5
60.4,EAGLE ACADEMY FOR YOUNG MEN                     ,4,09X231,63.1,0.7,0,2011-2012,33.8,24.2,100,0.5
90.7,IS 232                                          ,45.5,09X232,18.7,0.2,47,2011-2012,81.1,15.7,53,0
93.3,PS 236 LANGSTON HUGHES                          ,14.5,09X236,27.8,0.5,46.4,2011-2012,70,18.2,53.6,0.7
50.2,THE URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZ,19.9,09X239,56.7,0.7,0,2011-2012,40.4,27.7,100,0.7
79.5,URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIEN,9.4,09X241,32,2.6,50.7,2011-2012,63.4,14.7,49.3,1.5
62.9,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE B,8.1,09X250,40.7,0.6,53.4,2011-2012,58.1,18.8,46.6,0.3
58.9,MOTT HALL BRONX HIGH SCHOOL                     ,8.8,09X252,24.3,1.1,54,2011-2012,73.7,15.5,45.8,0.8
70,BRONX CENTER FOR SCIENCE AND MATHEMATICS        ,1.6,09X260,24.3,5.9,53.8,2011-2012,68.7,14,46.2,1.1
76.1,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LE,12.1,09X263,34.2,1.1,55.9,2011-2012,63.8,16.2,44.1,0.3
94.8,LEADERSHIP INSTITUTE                            ,16.5,09X276,33,1.7,47.8,2011-2012,63.5,16.1,52.2,1.3
79.1,MORRIS ACADEMY FOR COLLABORATIVE STUDIES        ,19.1,09X297,26,0.4,46.2,2011-2012,73.1,22.4,53.8,0.4
100,IS 303 LEADERSHIP & COMM. SER                   ,16.8,09X303,24.1,0.3,46.2,2011-2012,75,15.3,53.8,0.6
84.7,IS 313 SCHL OF LEADERSHIP DEV.                  ,33.8,09X313,29.9,1.3,45.4,2011-2012,67.9,16.4,54.6,0.4
81.9,BRONX WRITING ACADEMY                           ,30.5,09X323,35,1.1,53.6,2011-2012,63.6,15.7,46.4,0.2
79.4,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARN,11,09X324,32,3,51.5,2011-2012,64.5,16.2,48.5,0.2
73.1,URBAN SCIENCE ACADEMY                           ,35.5,09X325,32.8,1.8,46.3,2011-2012,64.7,14.6,53.7,0.4
87.8,COMPREHENSIVE MODEL SCHOOL PROJECT MS 327       ,11.8,09X327,29.4,0.6,48.5,2011-2012,69.2,18.5,51.5,0.8
64.5,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL   ,18.1,09X328,42.2,0.5,43.2,2011-2012,54.3,21.1,56.8,1.5
80,DREAMYARD PREPARATORY SCHOOL                    ,24.4,09X329,26.9,0,55.9,2011-2012,69.9,19.5,44.1,0.3
89.3,IS 339 SCHOOL OF COMM. TECH.                    ,29.6,09X339,32.7,0.8,44.7,2011-2012,65.5,22,55.3,0.3
85.7,ACADEMY FOR LANGUAGE AND TECHNOLOGY             ,86.6,09X365,0.6,0,51.2,2011-2012,99.4,0.9,48.8,0
82.3,BRONX INTERNATIONAL HIGH SCHOOL                 ,87.1,09X403,22.8,1,54.3,2011-2012,72.2,1.2,45.7,3.7
81.4,SCHOOL FOR EXCELLENCE                           ,20.7,09X404,34.5,0.3,47.7,2011-2012,64.5,26.2,52.3,0
77.6,BRONX HIGH SCHOOL OF BUSINESS                   ,23.2,09X412,38.7,0.7,45.1,2011-2012,59.9,23.2,54.9,0.5
76.9,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE           ,5.7,09X413,36.7,5.3,57.8,2011-2012,57.8,8.6,42.2,0.2
77.7,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNI,38.5,09X414,22.3,0.5,46.6,2011-2012,75.4,20.9,53.4,1.6
93.9,THE FAMILY SCHOOL                               ,46.1,09X443,29.1,5.1,52.4,2011-2012,64.1,14.9,47.6,1.5
83.7,GRANT AVENUE ELEMENTARY SCHOOL                  ,24.2,09X449,41.3,0.7,52,2011-2012,56,15.4,48,0.7
80.6,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHO,23.3,09X454,27,1.6,42.4,2011-2012,70.4,20.2,57.6,0.5
87.6,SHERIDAN ACADEMY FOR YOUNG LEADERS              ,29,09X457,40.3,3.2,51,2011-2012,54,14.1,49,0.4
66.2,BRONX SCHOOL FOR LAW GOVERNMENT AND JUSTICE     ,6.6,09X505,30.4,2,54.1,2011-2012,66.2,14,45.9,1
79.7,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL ,6.4,09X517,56.2,1.1,48.5,2011-2012,41.4,17.7,51.5,0.4
76.9,BRONX LEADERSHIP ACADEMY HIGH SCHOOL            ,9.6,09X525,41.1,0.7,56.7,2011-2012,57,20.3,43.3,0
84.3,HIGH SCHOOL FOR VIOLIN AND DANCE                ,8.7,09X543,36.8,0.3,85.4,2011-2012,62.5,22.3,14.6,0
80.1,PS 3 RAUL JULIA MICRO SOCIETY                   ,12.8,10X003,30.9,2,50.6,2011-2012,65.7,21.2,49.4,1.5
79.3,PS 007 KINGSBRIDGE                              ,25,10X007,9.3,7.4,54,2011-2012,73.4,13.9,46,8.8
83.2,PS 008 ISSAC VARIAN                             ,29.5,10X008,10.9,6.4,49.3,2011-2012,72.8,15.6,50.7,9.3
88.3,RYER AVENUE ELEMENTARY SCHOOL                   ,32.4,10X009,18.3,1.2,47.8,2011-2012,79.3,16.8,52.2,0.3
85.5,PS 015 INST FOR ENVIRO. LRNG.                   ,8.5,10X015,14,1.5,52.2,2011-2012,84.4,9.3,47.8,0.2
88.4,PS 20 P.O.GEORGE J. WERDAN III                  ,25.5,10X020,7.8,14.4,48.2,2011-2012,70.5,15.7,51.8,5.6
84.9,PS 023 THE NEW CHILDREN'S SCHOOL                ,19,10X023,36.2,0.6,40.4,2011-2012,61.3,36.5,59.6,1.7
22.9,PS 024 SPUYTEN DUYVIL                           ,4.1,10X024,9.3,9.9,49.3,2011-2012,35.7,12.5,50.7,44.3
90.5,PS 032 BELMONT                                  ,13,10X032,23.2,0.4,50.7,2011-2012,73.8,23.7,49.3,1.7
90.3,PS 033 TIMOTHY DWIGHT                           ,33,10X033,11.2,2.2,49.5,2011-2012,84.4,12.3,50.5,1.3
78.7,PS 037 MULTIPLE INTELLIGENCE S                  ,12.5,10X037,22.5,1,48.1,2011-2012,74.3,19,51.9,2.1
89.3,JHS 045 THOMAS C. GIORDANO                      ,18,10X045,13,1.6,48.2,2011-2012,80.9,17.8,51.8,4.3
87.5,PS 046 EDGAR ALLAN POE                          ,39.2,10X046,20.1,2.7,49,2011-2012,76.1,18,51,1
73.3,PS 051 BRONX NEW SCHOOL                         ,2.7,10X051,43.6,3.1,51.6,2011-2012,52,14.7,48.4,1.3
91.1,PS/IS 54                                        ,27.4,10X054,28,2.2,51.8,2011-2012,68.1,21.2,48.2,1.4
81.3,PS 056 NORWOOD HEIGHTS                          ,17,10X056,9.6,23.6,51.6,2011-2012,58.5,10.5,48.4,7.8
90.4,PS 059 THE COMM SCHOOL OF TEC                   ,17.9,10X059,29,0.5,50.1,2011-2012,69.4,19.1,49.9,0.5
83.7,JHS 080 THE MOSHOLU PARKWAY                     ,32.6,10X080,13.6,11.1,44,2011-2012,67.9,21.5,56,6.5
41.5,PS 081 ROBERT J. CHRISTEN                       ,11.5,10X081,10.4,12.1,47.6,2011-2012,46,14.5,52.4,29.4
96.2,PS 085 GREAT EXPECTATIONS                       ,26,10X085,27.6,1,48.5,2011-2012,70.1,21.5,51.5,0.9
82.4,PS 086 KINGSBRIDGE HEIGHTS                      ,29.1,10X086,11.6,3.8,50.6,2011-2012,82.6,16.3,49.4,2
88.7,PS 091 BRONX                                    ,35,10X091,19.4,5,46.9,2011-2012,72.7,17.2,53.1,2
87.5,PS 094 KINGS COLLEGE SCHOOL                     ,30.2,10X094,19.8,12.3,49.6,2011-2012,63,13,50.4,1.8
69.3,PS 095 SHEILA MENCHER                           ,18.7,10X095,18.9,8.3,48,2011-2012,69.4,15.9,52,3.1
83.3,JHS 118 WILLIAM W NILES                         ,11.3,10X118,25,11.1,52.5,2011-2012,60.7,13.2,47.5,2.6
39.7,RIVERDALE/KINGSBRIDGE ACADEMY (MS/HS 141)       ,6.7,10X141,13,8.8,48.2,2011-2012,53,15.2,51.8,24.9
89.6,PS 159 LUIS MUNOZ MARIN BILING                  ,55.1,10X159,5.4,0,45.4,2011-2012,91.7,21.5,54.6,0
92.1,PS 205 FIORELLO LAGUARDIA                       ,21.2,10X205,16.1,1.1,49.4,2011-2012,76.1,13.1,50.6,6.5
90.7,IS 206 ANN MERSEREAU                            ,31.5,10X206,16.2,2.6,48.5,2011-2012,80.5,18.2,51.5,0.8
78.4,PS 207                                          ,41.4,10X207,7.4,2.5,49.8,2011-2012,83.6,9.3,50.2,4.7
94.5,PS 209                                          ,18.3,10X209,18.3,0.4,47.8,2011-2012,80.6,16,52.2,0
79.8,BRONX ENGINEERING AND TECHNOLOGY ACADEMY        ,15.5,10X213,29.5,5.2,17.3,2011-2012,64.2,21.4,82.7,0.9
67.4,THEATRE ARTS PRODUCTION COMPANY SCHOOL          ,4.4,10X225,27.3,1.1,69.1,2011-2012,69.7,18.9,30.9,1.1
95.3,PS 226                                          ,28.5,10X226,22.5,0.8,49.3,2011-2012,75.5,15,50.7,1.2
72.8,JONAS BRONCK ACADEMY                            ,6.4,10X228,21.1,4,57.4,2011-2012,69.3,19.9,42.6,4.4
71.5,THE MARIE CURIE SCHOOL FOR MEDICINE             ,6.7,10X237,35.6,1.5,83.5,2011-2012,57.4,15.6,16.5,3.3
86.3,WEST BRONX ACADEMY FOR THE FUTURE               ,13.2,10X243,24.7,3.5,42.1,2011-2012,69.5,19.5,57.9,1.3
89.2,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM    ,25.6,10X244,13.4,2.9,46.8,2011-2012,82,21.9,53.2,1.7
98.1,PS 246 POE CENTER                               ,30.1,10X246,11.1,3.2,44.9,2011-2012,83.8,14.5,55.1,0.6
85.2,I.S. 254                                        ,29.7,10X254,20.2,1.9,45.6,2011-2012,76.7,20.9,54.4,1
95.1,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL           ,88.7,10X268,5.4,6.8,47.7,2011-2012,84.7,0.4,52.3,3
88,PS 279 CAPT MANUEL RIVERA JR.                   ,32.5,10X279,15.2,3.6,47.3,2011-2012,79.9,17.8,52.7,0.2
85.5,PS 280 MOSHOLU PARKWAY                          ,17.1,10X280,11.4,12,49.9,2011-2012,69.8,15.4,50.1,6.4
74.2,BRONX SCHOOL OF LAW AND FINANCE                 ,7.1,10X284,31.5,0.7,43.4,2011-2012,65.2,15.2,56.6,2.6
100,PS 291                                          ,34,10X291,10.5,0.5,46,2011-2012,88,13.7,54,0.7
74.9,PS 306                                          ,21.9,10X306,29.8,0.8,46,2011-2012,68.6,20.4,54,0.8
81.6,EAMES PLACE (P.S.307)                           ,26.1,10X307,10.3,6.3,52.1,2011-2012,81.1,9.7,47.9,2
77.9,BRONX DANCE ACADEMY SCHOOL                      ,9.1,10X308,30,2.3,79.5,2011-2012,65.8,23.6,20.5,1.1
88.6,PS 310 MARBLE HILL                              ,23,10X310,10.4,3.1,49.1,2011-2012,82.8,14.4,50.9,3.2
88,PS 315 LAB SCHOOL                               ,15.9,10X315,16.3,0,51.1,2011-2012,80.6,12.8,48.9,0.9
81.8,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HI,5.2,10X319,37.6,0,59.6,2011-2012,61.5,16.4,40.4,0.5
89.6,THE BRONX SCHOOL OF SCIENCE INQUIRY AND INVESTIG,22.3,10X331,26.6,0.8,47.3,2011-2012,72,26.1,52.7,0.5
83.4,PS 340                                          ,24,10X340,8.6,5.1,51.2,2011-2012,83.4,13.6,48.8,2.5
78.3,INTERNATIONAL SCHOOL OF LIBERAL ARTS            ,79.9,10X342,0,0.2,51,2011-2012,99.8,4.6,49,0
27.8,AMPARK NEIGHBORHOOD PROGRAM                     ,4.1,10X344,11.2,8.6,52,2011-2012,57.6,10,48,21.6
87.5,PS 360                                          ,17.6,10X360,11.9,1.4,46.5,2011-2012,82.8,14.9,53.5,3.4
65,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE  ,40.5,10X363,15,2.7,44.9,2011-2012,81.6,22.4,55.1,0.7
77.9,IN-TECH ACADEMY (MS/HS 368)                     ,12.1,10X368,11.9,4,51.1,2011-2012,81.9,14.3,48.9,2
75.3,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNAT,9.3,10X374,35.2,0.9,52.8,2011-2012,59.9,11.1,47.2,3.1
90.2,ELEMENTARY SCHOOL FOR MATH SCIENCE AND TECH     ,28.1,10X382,28.4,0,49.1,2011-2012,70.8,12.8,50.9,0.8
94.3,SCHOOL FOR ENVIRONMENTAL CITIZENSHIP            ,23.6,10X386,19.2,0.4,53.1,2011-2012,79.2,10.4,46.9,0.8
90.1,MS 390                                          ,33,10X390,17.2,0.2,49.5,2011-2012,82.6,18.4,50.5,0
81.9,MS 391                                          ,33.6,10X391,22.9,1.4,44,2011-2012,75.4,24.6,56,0.2
81.3,PS 396                                          ,21.3,10X396,19.9,0.3,46.8,2011-2012,75.4,17.5,53.2,3.2
92.8,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPP,80.4,10X397,16.5,7,44.3,2011-2012,72.5,0,55.7,1.9
88.1,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS    ,17.8,10X433,25.2,2.5,57.7,2011-2012,70.4,20.1,42.3,1.9
76.8,BELMONT PREPARATORY HIGH SCHOOL                 ,11.3,10X434,29,3.2,52.8,2011-2012,65.6,15.7,47.2,1.7
78.3,FORDHAM HIGH SCHOOL FOR THE ARTS                ,12.4,10X437,35.7,1.6,56.8,2011-2012,61.5,22.5,43.2,1.3
78.9,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECH,16.6,10X438,27.7,2.7,36.6,2011-2012,67.8,20.6,63.4,1.3
80.2,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE ,13.4,10X439,30.8,2.3,55.6,2011-2012,64.6,20.8,44.4,0.9
74.8,DEWITT CLINTON HIGH SCHOOL                      ,19,10X440,30.8,6.7,48.9,2011-2012,59.6,14.9,51.1,2.1
74.7,THE CELIA CRUZ BRONX HIGH SCHOOL OF MUSIC       ,3.5,10X442,27.2,0.5,59.3,2011-2012,69.5,7.8,40.7,2.4
34.2,BRONX HIGH SCHOOL OF SCIENCE                    ,0.1,10X445,3.5,63.5,42.2,2011-2012,7.2,0.1,57.8,25.4
74.7,CRESTON ACADEMY                                 ,26.7,10X447,14.9,0.7,44.7,2011-2012,83.7,18.3,55.3,0.5
73.3,EAST FORDHAM ACADEMY FOR THE ARTS               ,29,10X459,13.6,3,49.2,2011-2012,81.9,19.9,50.8,1.5
77.8,JOHN F. KENNEDY HIGH SCHOOL                     ,23.8,10X475,35.1,0.7,31.7,2011-2012,62.7,20.8,68.3,1.4
83.9,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIE,32.2,10X477,23,11,53.3,2011-2012,57.9,6.8,46.7,7.5
60,CROTONA INTERNATIONAL HIGH SCHOOL               ,97.6,10X524,12.9,2.4,49.4,2011-2012,80,0,50.6,4.7
73.7,BRONX THEATRE HIGH SCHOOL                       ,9.4,10X546,28.8,0.4,67.9,2011-2012,69,15.1,32.1,1.8
80,DISCOVERY HIGH SCHOOL                           ,20.6,10X549,20.2,2.1,47.6,2011-2012,75.6,17.8,52.4,1.3
71,GRACE DODGE CAREER AND TECHNICAL EDUCATION HIGH ,18.8,10X660,30.1,1.5,60,2011-2012,67.1,24.1,40,0.9
20.8,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEG,0,10X696,10.6,16.7,46.2,2011-2012,18,1.3,53.8,53.8
84.2,PS 016 WAKEFIELD                                ,4.7,11X016,54.8,8.5,45.7,2011-2012,28.5,13,54.3,2.6
40,PS 019 JUDITH K. WEISS                          ,8.3,11X019,7.6,5,49.7,2011-2012,21.1,12.3,50.3,65.6
79.1,PS 021 PHILLIP H SHERIDAN                       ,4.9,11X021,73,2.1,49.6,2011-2012,23.6,13.3,50.4,0.6
87,PS 041 GUN HILL RD                              ,14.1,11X041,60,1,45.6,2011-2012,38.1,14.1,54.4,0.8
92.7,PS 068 BRONX                                    ,1.9,11X068,80.1,1.9,50.3,2011-2012,15.5,15.1,49.7,1.3
71.7,PS 076 THE BENNINGTON SCHOOL                    ,12.1,11X076,51.2,3.9,49.4,2011-2012,40.9,12.4,50.6,3.6
78.9,PS 078 ANNE HUTCHINSON                          ,6.4,11X078,74.9,1.5,48.7,2011-2012,22.3,17.4,51.3,0.8
63.3,PS 083 DONALD HERTZ                             ,10.9,11X083,11.1,11.8,51.3,2011-2012,49,12.2,48.7,27.9
76.2,PS 087 BRONX                                    ,1.6,11X087,73.5,4.5,47.4,2011-2012,17.7,13.2,52.6,0.5
76.5,PS 089 BRONX                                    ,18.9,11X089,26.9,9.1,48.9,2011-2012,46.5,16.8,51.1,16.4
70.5,PS 096 RICHARD RODGERS                          ,9.4,11X096,21.9,5.3,50,2011-2012,61.3,14.4,50,10.9
69.4,PS 097 BRONX                                    ,5.4,11X097,35.5,12.5,47.7,2011-2012,39.9,13.3,52.3,11.1
78.3,PS 103 HECTOR FONTANEZ                          ,18.2,11X103,51,2.7,46.6,2011-2012,41,12.4,53.4,2.1
81.2,PS 105 SEN ABRAHAM BERNSTEIN                    ,22.1,11X105,12.6,9.2,49.8,2011-2012,65.3,17,50.2,11.9
67.3,PS 106 PARKCHESTER                              ,13.2,11X106,27.3,31.2,48.6,2011-2012,38.4,9.2,51.4,2.5
48.5,PS 108 PHILIP J ABINANTI                        ,7.5,11X108,10.1,12.5,50.9,2011-2012,45.2,9.7,49.1,31.4
79.5,PS 111 SETON FALLS                              ,10.5,11X111,62,1,50.8,2011-2012,33,21,49.2,1.6
92.4,PS 112 BRONXWOOD                                ,6,11X112,49.7,0.2,47,2011-2012,49.3,14.7,53,0.6
63.6,PS 121 THROOP                                   ,3.8,11X121,61.1,5.7,50.1,2011-2012,30.3,10.1,49.9,2.1
78.6,JHS 127 THE CASTLE HILL                         ,11.3,11X127,30.6,22,51.8,2011-2012,44.6,14.7,48.2,1.7
73,JHS 142 JOHN PHILIP SOUSA                       ,4.9,11X142,67,1.9,48.5,2011-2012,29.4,21,51.5,0.7
68.7,JHS 144 MICHELANGELO                            ,6.5,11X144,67.1,3.9,48.4,2011-2012,27,17.9,51.6,1.7
46.1,PS. 153 HELLEN KELLER                           ,1.7,11X153,60.1,8.1,50,2011-2012,24.1,20.4,50,6.5
41.2,PS 160 WALT DISNEY                              ,7.5,11X160,56.5,1,45.7,2011-2012,38,34.2,54.2,3.2
70.8,BAYCHESTER ACADEMY                              ,1.4,11X169,77.7,1.4,48.4,2011-2012,18.1,10.1,51.6,1.7
30,PS 175 CITY ISLAND                              ,0.3,11X175,5.9,3.8,46.2,2011-2012,24.3,8.6,53.8,65.1
53.1,PS 178 DR SELMAN WAXMAN                         ,2.4,11X178,61.8,1,47.6,2011-2012,32.5,19.7,52.4,2.9
57.6,I S 180 DANIEL HALE WILLIAMS                    ,2.5,11X180,69.8,3.3,55.2,2011-2012,24.5,15.8,44.8,1.9
53.7,I S 181 PABLO CASALS                            ,2.1,11X181,66.8,4,48.5,2011-2012,25,18.7,51.5,3.7
80.2,CORNERSTONE ACADEMY FOR SOCIAL ACTION           ,8.9,11X189,49.6,2,44.8,2011-2012,43.8,18.5,55.2,3.8
83.6,P.S./I.S. 194                                   ,13.8,11X194,11,28.4,47.4,2011-2012,55.6,11.7,52.6,3.9
73.9,BRONX HEALTH SCIENCES HIGH SCHOOL               ,6.1,11X249,56.8,4.8,64.7,2011-2012,36.3,7.4,35.3,0.5
72.4,BRONX HIGH SCHOOL FOR WRITING AND COMMUNICATION ,8.5,11X253,48.3,2.4,59.2,2011-2012,47.6,14.5,40.8,1.7
75.5,BRONX LAB SCHOOL                                ,3.7,11X265,37.8,2.7,40.5,2011-2012,57.3,15.8,59.5,1.7
63.7,ACADEMY FOR SCHOLARSHIP AND ENTREPRENEURSHIP: A ,6.3,11X270,63.7,2.5,48,2011-2012,32,18.5,52,0.7
77.4,GLOBE SCHOOL FOR ENVIRONMENTAL RESEARCH         ,12.1,11X272,63.3,0.9,48.4,2011-2012,33.7,17,51.6,1.4
71.8,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY         ,10.2,11X275,34.9,3.6,12.7,2011-2012,59.5,20.2,87.3,1.3
79,THE FORWARD SCHOOL                              ,5.9,11X287,66.1,1.3,51.5,2011-2012,29.7,28,48.5,1.7
67.9,COLLEGIATE INSTITUTE OF MATH AND SCIENCE        ,3.3,11X288,36.8,9.2,42.9,2011-2012,46.8,14,57.1,7
72.8,THE YOUNG SCHOLARS ACADEMY OF THE BRONX         ,7.7,11X289,66.8,2.6,44,2011-2012,28.4,18.5,56,0.6
70.8,BRONX ACADEMY OF HEALTH CAREERS                 ,7.7,11X290,52.6,3.3,67.3,2011-2012,41.2,19,32.7,1
64.4,ASTOR COLLEGIATE ACADEMY                        ,7.6,11X299,35.7,5.4,41.4,2011-2012,46,21.7,58.6,11.8
68.5,ASPIRE PREPARATORY SCHOOL                       ,11.1,11X322,25.8,4.6,46.1,2011-2012,61.5,20,53.9,7.8
85.7,BRONX GREEN MIDDLE SCHOOL                       ,16.8,11X326,22.1,4.5,49.3,2011-2012,65.3,22.4,50.7,7.6
72.9,SCHOOL OF DIPLOMACY                             ,8.1,11X370,64.3,2.8,48.4,2011-2012,29.6,15.9,51.6,1.8
59.2,CHRISTOPHER COLUMBUS HIGH SCHOOL                ,18.3,11X415,34.9,5.8,44.8,2011-2012,46.5,24.1,55.2,12.7
68.7,BRONX HIGH SCHOOL FOR THE VISUAL ARTS           ,5.2,11X418,29.2,1.9,42,2011-2012,62.3,20.9,58,6.4
50.6,HARRY S TRUMAN HIGH SCHOOL                      ,9.2,11X455,51.8,2,40,2011-2012,43.8,25.1,60,1.3
72.1,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCH,4.3,11X462,59.7,1.6,49.8,2011-2012,36,18.6,50.2,1.6
81.2,PELHAM ACADEMY OF ACADEMICS AND COMMUNITY ENGAGE,13.9,11X468,29.7,8.4,47.1,2011-2012,52.6,15.2,52.9,8.4
63.2,PS/MS 11X498 - VAN NEST ACADEMY                 ,6.3,11X498,10.9,9.5,49.7,2011-2012,65.8,14.7,50.3,12.9
60,BRONXDALE HIGH SCHOOL                           ,7.4,11X508,23.2,4.2,40,2011-2012,56.8,12.6,60,12.6
60,HIGH SCHOOL FOR LANGUAGE AND INNOVATION         ,84.2,11X509,11.8,14.5,50,2011-2012,64.5,2.6,50,7.9
79.5,NEW WORLD HIGH SCHOOL                           ,80.1,11X513,13.2,12.4,50,2011-2012,70.4,1.5,50,3.2
66.7,SPORTS PROFESSIONS HIGH SCHOOL                  ,7,11X514,58.2,1.9,38.7,2011-2012,37.3,20.9,61.3,1
60,ONE WORLD MIDDLE SCHOOL AT EDENWALD             ,9.3,11X529,55.1,2.5,44.9,2011-2012,41.5,12.7,55.1,0.8
60,BAYCHESTER MIDDLE SCHOOL                        ,3.1,11X532,69.1,2.1,46.4,2011-2012,25.8,23.7,53.6,2.1
80.3,GLOBAL ENTERPRISE HIGH SCHOOL                   ,14.4,11X541,35.9,4.1,43.3,2011-2012,54.1,17.8,56.7,5.6
61,PELHAM PREPARATORY ACADEMY                      ,2.2,11X542,40.2,2.4,51.9,2011-2012,49.7,14.2,48.1,6.9
71.9,HIGH SCHOOL FOR CONTEMPORARY ARTS               ,10.2,11X544,37.2,1,44.7,2011-2012,59.9,21.3,55.3,1
45.6,BRONX AEROSPACE ACADEMY                         ,14.7,11X545,23.8,2.2,17.5,2011-2012,72.6,25.7,82.5,1.2
93.2,PS 006 WEST FARMS                               ,13.7,12X006,23.1,0.7,50.5,2011-2012,74.7,17.2,49.5,0.8
98.4,PS 044 DAVID C FARRAGUT                         ,10.4,12X044,33.5,0,51.2,2011-2012,65.5,14.6,48.8,0.6
90.4,PS 047 JOHN RANDOLPH                            ,25.8,12X047,21.1,8.5,50.5,2011-2012,66.3,11.9,49.5,1.9
93.9,PS 050 CLARA BARTON                             ,14.9,12X050,34.7,0.6,49.4,2011-2012,63.1,21.5,50.6,1
86.3,PS 057 CRESCENT                                 ,12.6,12X057,24.6,0.4,51.7,2011-2012,73.5,18,48.3,1.2
79.4,PS 061 FRANCISCO OLLER                          ,6.9,12X061,24.7,0.3,45.5,2011-2012,72.5,22.6,54.5,0
91.6,PS 066 SCH OF HIGHER EXPECTAT                   ,20.8,12X066,25.1,0.3,51.4,2011-2012,72.7,14.6,48.6,1.4
89.4,PS 067 MOHEGAN SCHOOL                           ,11.1,12X067,22.5,0.3,49.9,2011-2012,76.9,15.6,50.1,0.3
83.4,PS 092 BRONX                                    ,22.9,12X092,24.4,1.3,47.9,2011-2012,72.1,23.6,52.1,1.7
79.1,JHS 098 HERMAN RIDDER                           ,18.5,12X098,34.9,5.2,49.6,2011-2012,57,23,50.4,1.4
87.9,PS 102 JOSEPH O LORETAN                         ,28.1,12X102,25.9,7.7,47.2,2011-2012,64.9,21.3,52.8,1.4
83.3,PS 129 TWIN PARKS UPPER                         ,16.2,12X129,29.5,1.6,45.9,2011-2012,67.1,20.5,54.1,1.6
