freelunch,name,ell,dbn,black,asian,female,year,hisp,sped,male,white
97.5,MANHATTAN ACADEMY FOR ARTS & LANGUAGE           ,86.9,02M427,8,6.3,45.1,2011-2012,84.6,6.9,54.9,1.1
93.9,LEGACY SCHOOL FOR INTEGRATED STUDIES            ,8.2,02M429,45.2,1.4,51,2011-2012,51.4,22.4,49,1.7
78,MURRAY HILL ACADEMY                             ,7.5,02M432,41.1,7.9,46.3,2011-2012,45.3,27.1,53.7,4.2
61.5,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES     ,8.8,02M437,23.5,5.8,39.4,2011-2012,62.4,16.4,60.6,6.6
82.8,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE       ,94.9,02M438,12.5,40.3,38.6,2011-2012,43.2,0.6,61.4,3.4
60.3,MANHATTAN VILLAGE ACADEMY                       ,3.7,02M439,16.8,6.3,61.5,2011-2012,71.8,8.2,38.5,4.9
75.5,BAYARD RUSTIN EDUCATIONAL COMPLEX               ,26,02M440,27.9,6.3,36.1,2011-2012,62.5,13.5,63.9,2.4
50.7,BALLET TECH / NYC PUBLIC SCHOOL FOR DANCE       ,2.6,02M442,32.5,28.6,55.2,2011-2012,22.7,1.3,44.8,14.3
69.5,VANGUARD HIGH SCHOOL                            ,6.1,02M449,25.7,9.9,53.8,2011-2012,59,17.3,46.2,4.5
80.7,MANHATTAN INTERNATIONAL HIGH SCHOOL             ,77.5,02M459,14.8,33.5,55.7,2011-2012,36.9,0.3,44.3,14.5
66,WASHINGTON IRVING HIGH SCHOOL                   ,18.6,02M460,34.3,4.8,52.5,2011-2012,58.2,17.2,47.5,2.3
30.3,STUYVESANT HIGH SCHOOL                          ,0,02M475,1.2,72.1,40.7,2011-2012,2.4,0.4,59.3,23.7
60.8,HIGH SCHOOL OF ECONOMICS AND FINANCE            ,6.3,02M489,22.5,24.8,45.5,2011-2012,43.5,11.9,54.5,8.8
83.5,UNITY CENTER FOR URBAN TECHNOLOGIES             ,15.6,02M500,35,3.8,37.6,2011-2012,55.3,32.9,62.4,2.5
60,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLO      ,8.7,02M507,40.5,7.1,26.2,2011-2012,46.8,19.8,73.8,4.8
45.5,TALENT UNLIMITED HIGH SCHOOL                    ,0.2,02M519,36,4.5,78.6,2011-2012,39.3,3.5,21.4,19.8
72.7,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,10.2,02M520,39.9,10.5,50.9,2011-2012,46.6,14.1,49.1,2.3
73,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL          ,9.8,02M529,22.7,5.1,59.4,2011-2012,69.9,13.7,40.6,1.8
65.3,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS  ,0.5,02M531,47.9,1.4,78.8,2011-2012,42.4,5.1,21.2,7.4
83.5,MANHATTAN BRIDGES HIGH SCHOOL                   ,72.6,02M542,0,0.2,48.6,2011-2012,99.8,1.7,51.4,0
66.1,NEW DESIGN HIGH SCHOOL                          ,5.4,02M543,30.3,3.8,61.7,2011-2012,62.2,17.5,38.3,2.6
74.4,INDEPENDENCE HIGH SCHOOL                        ,3.8,02M544,33.5,4.3,48.8,2011-2012,59.6,11.5,51.2,2
82.6,HIGH SCHOOL FOR DUAL LANGUAGE & ASIAN STUDIES   ,38.2,02M545,3.4,89.5,48.7,2011-2012,4,2.3,51.3,2.3
79.5,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS       ,90.2,02M550,19.9,25.7,39,2011-2012,42.1,2,61,11.8
73.5,NEW YORK HARBOR SCHOOL                          ,4.2,02M551,37.4,2.3,39.1,2011-2012,49.3,17.9,60.9,10.2
38.1,HIGH SCHOOL M560 - CITY AS SCHOOL               ,1.3,02M560,37.7,4.8,56.4,2011-2012,38.8,9.3,43.6,17.4
32.1,URBAN ACADEMY LABORATORY HIGH SCHOOL            ,1.3,02M565,33.8,5.1,59.2,2011-2012,38.2,0,40.8,20.4
72.8,SATELLITE ACADEMY HIGH SCHOOL                   ,6.5,02M570,35.1,1.6,61.3,2011-2012,59.7,14.1,38.7,2.8
85.6,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOO,60,02M575,31,35.3,43.9,2011-2012,28.3,2.4,56.1,5
67,RICHARD R. GREEN HIGH SCHOOL OF TEACHING        ,6.4,02M580,35.1,2.3,67.4,2011-2012,59.3,21.8,32.6,2.3
75.7,HARVEY MILK HIGH SCHOOL                         ,1.5,02M586,38.2,5.9,52.9,2011-2012,39.7,22.1,47.1,16.2
68.3,THE HIGH SCHOOL OF FASHION INDUSTRIES           ,2.8,02M600,39.1,3.8,92.7,2011-2012,52.3,11.5,7.3,4.1
54,HUMANITIES PREPARATORY ACADEMY                  ,1,02M605,21.9,7.3,57.3,2011-2012,57.8,6.8,42.7,11.5
69.8,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHO,6.2,02M615,29.6,7.1,35,2011-2012,60.5,15.7,65,1.5
81.1,NORMAN THOMAS HIGH SCHOOL                       ,19.3,02M620,25.6,1.6,48,2011-2012,70.6,15.5,52,2
72.7,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS       ,9.1,02M625,30.3,3.1,53.5,2011-2012,63.8,17.2,46.5,2.6
53.3,ART AND DESIGN HIGH SCHOOL                      ,1.6,02M630,26.8,9,53.3,2011-2012,51,11.1,46.7,12.6
70.3,LIFE SCIENCES SECONDARY SCHOOL                  ,7.9,02M655,28.6,3.3,48.4,2011-2012,64.3,19.7,51.6,2.4
50.4,GREENWICH VILLAGE                               ,10,02M896,24.6,29.1,47.1,2011-2012,29.4,23.2,52.9,13.5
19.1,PS 009 SARAH ANDERSON                           ,5.6,03M009,8.6,8.3,53.6,2011-2012,19.7,8.9,46.4,59.8
29,JHS 054 B00KER T.WASHINGTON                     ,3.4,03M054,17.2,8.2,48.7,2011-2012,16.4,9.7,51.3,52.2
57.5,PS 075 EMILY DICKINSON                          ,15.4,03M075,26.5,4.6,46.9,2011-2012,52,15.7,53.1,15.6
84.9,PS 076 A. PHILIP RANDOLPH                       ,7.4,03M076,79.4,0.6,54.9,2011-2012,18.7,13,45.1,1.1
53.7,PS 084 LILLIAN WEBER                            ,7.8,03M084,22.1,2.7,49.1,2011-2012,45.4,11.9,50.9,28
10.1,PS 087 WILLIAM SHERMAN                          ,2.9,03M087,7.5,6.6,50.1,2011-2012,15.4,13.3,49.9,67.7
75.8,PS 145 BLOOMINGDALE SCHOOL                      ,19.8,03M145,27.6,2.2,54.2,2011-2012,63.6,19.8,45.8,6.1
77.5,PS 149 SOJOURNER TRUTH                          ,7,03M149,62.7,1.3,50.4,2011-2012,25.6,23.8,49.6,0.8
47.7,PS 163 ALFRED E SMITH                           ,9,03M163,21.7,5.5,48.1,2011-2012,45.9,13.1,51.9,25.2
73.7,PS 165 ROBERT E SIMON                           ,20.7,03M165,16,3.4,46.7,2011-2012,71.7,17.6,53.3,7.7
31.3,PS 166 THE RICHARD ROGERS SCHOOL OF THE ARTS AND,5,03M166,12,8.7,51.8,2011-2012,24.3,9.9,48.2,52.5
71.6,PS 180 HUGO NEWMAN                              ,5.9,03M180,62,2.1,48.8,2011-2012,25.6,8.6,51.2,7.2
76.4,PS 185 JOHN M.LANGSTON                          ,11.4,03M185,60.3,1.3,53.6,2011-2012,35.9,14.3,46.4,1.7
68,PS 191 AMSTERDAM                                ,8.6,03M191,36.8,7.3,48.3,2011-2012,45.7,16.6,51.7,8.7
9.3,PS 199 JESSIE ISADOR STRAUS                     ,2.8,03M199,3.7,11.2,48.1,2011-2012,11.4,13.4,51.9,68.3
79.8,PS 208 ALAIN L LOCKE                            ,12.5,03M208,65.5,1.5,46.5,2011-2012,31.5,27.5,53.5,1
88.3,PS 241 FAMILY ACADEMY                           ,24.8,03M241,57.5,4.4,47.8,2011-2012,38.1,24.8,52.2,0
75.8,PS242M G. P. BROWN COMP. SCHL.                  ,6.8,03M242,71.2,0.3,50.8,2011-2012,22.4,18,49.2,3.4
14,MS 243 CENTER SCHOOL                            ,0.9,03M243,15.4,7.7,49.3,2011-2012,13.6,2.3,50.7,62.9
28.2,MS 245M THE COMPUTER SCHOOL                     ,2,03M245,20.9,9,58,2011-2012,25.4,12.7,42,44.3
89.4,MS 247M DUAL LANGUAGE MID. SCH                  ,26.1,03M247,1.5,0,52.7,2011-2012,98.5,21.7,47.3,0
64.4,MS 250 WEST SIDE COLLAB. M.S.                   ,9.6,03M250,35,1.1,52.5,2011-2012,57.6,27.7,47.5,6.2
81.6,MS 256 ACAD. & ATHL. EXCELLENC                  ,16,03M256,49.1,0,44.4,2011-2012,48.5,27.8,55.6,2.4
67.3,MS 258 COMMUNITY ACTION SCHL.                   ,6.5,03M258,51.2,0.4,56.5,2011-2012,45.9,28.5,43.5,2.4
59.6,MANHATTAN THEATRE LAB HIGH SCHOOL               ,8.6,03M283,46,1.7,68.2,2011-2012,49.4,10.5,31.8,2.2
66.4,HIGH SCHOOL FOR ARTS IMAGINATION AND INQUIRY    ,14.4,03M299,37.3,1,44.3,2011-2012,58.9,19.6,55.7,1.4
68.8,THE URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES     ,12.8,03M307,37.4,2.2,42.1,2011-2012,56,15.3,57.9,3
20.6,PS 333 MANHATTAN SCHOOL FOR CHILDREN            ,2.5,03M333,13.6,6.9,49.8,2011-2012,21.7,15.8,50.2,56.9
4.6,THE ANDERSON SCHOOL                             ,0.4,03M334,7.7,23.7,50.1,2011-2012,9,0.7,49.9,59.1
73.2,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS     ,25.1,03M402,19.8,1.8,43.1,2011-2012,76,21.6,56.9,1.8
68.4,THE GLOBAL LEARNING COLLABORATIVE               ,19.3,03M403,27.7,3.6,48.6,2011-2012,62.6,19.3,51.4,5.9
50.4,INNOVATION DIPLOMA PLUS                         ,3.5,03M404,33.2,48.7,52.3,2011-2012,16.6,10.1,47.7,1.5
76.6,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & V,7.4,03M415,59.9,0.4,61.6,2011-2012,38.8,18.8,38.4,0.8
24,FRANK MCCOURT HIGH SCHOOL                       ,0.9,03M417,18.3,6.8,53.4,2011-2012,37,17.4,46.6,37
57.6,WEST PREP ACADEMY                               ,7.9,03M421,52.9,2.6,48.7,2011-2012,38.6,24.9,51.3,5.8
16.4,P.S. 452                                        ,0.8,03M452,11.3,12.9,45.2,2011-2012,11.3,18.5,54.8,64.5
68.6,LOUIS D. BRANDEIS HIGH SCHOOL                   ,27.8,03M470,29.6,2.1,49.5,2011-2012,67.4,10.7,50.5,1
18.4,BEACON HIGH SCHOOL                              ,0.2,03M479,14.6,8.9,61,2011-2012,22.8,3.7,39,49.8
21.7,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART,0.2,03M485,12.9,19.6,73.6,2011-2012,16.6,1,26.4,49.2
79.9,HIGH SCHOOL FOR LAW ADVOCACY AND COMMUNITY JUSTI,10.5,03M492,46.2,1.3,59.9,2011-2012,48.1,15.5,40.1,1.8
79.8,HIGH SCHOOL OF ARTS AND TECHNOLOGY              ,10.4,03M494,34.8,5,32.3,2011-2012,57.2,17.2,67.7,2.3
