dbn,name,year,freelunch,ell,sped,asian,black,hisp,white,male,female
28Q505,HILLCREST HIGH SCHOOL                           ,2011-2012,65,15,9,36.5,36.6,22.8,2.9,46.1,53.9
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION ,2011-2012,54.3,1.4,11.4,50.9,23.7,21.1,3.2,65.1,34.9
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHO,2011-2012,55.8,0.1,1.7,36.5,44.8,15.7,2.7,38.1,61.9
28Q686,QUEENS METROPOLITAN HIGH SCHOOL                 ,2011-2012,47.3,3.6,16,12.1,4.8,38.6,40.4,49.6,50.4
28Q687,QUEENS HIGH SCHOOL FOR SCIENCES AT YORK COLLEGE ,2011-2012,25.6,0.2,0.2,74.4,10.5,7.9,6.7,56.5,43.5
28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFET,2011-2012,58.3,2.1,16.6,8.4,73.7,15.1,1.3,53,47
28Q896,YOUNG WOMEN'S LEADERSHIP SCHOOL QUEENS          ,2011-2012,56.9,2.7,9,21,57.3,18.4,2.4,0,100
29Q015,PS 015 JACKIE ROBINSON                          ,2011-2012,63.4,1.8,9,1,88.7,4.3,3,50.3,49.7
29Q033,PS 033 EDWARD M. FUNK                           ,2011-2012,57.8,12.9,11.7,42.9,20.6,26.8,7.5,52.4,47.6
29Q034,PS 034 JOHN HARVARD                             ,2011-2012,77,8.9,11,6.7,77.3,13.5,2.1,52,48
29Q035,PS 035 NATHANIEL WOODHULL                       ,2011-2012,65.4,13.8,9,23.4,40.1,29.1,4.1,46.3,53.7
29Q036,PS 036 ST ALBANS SCHOOL                         ,2011-2012,59.3,2.7,17.9,0.9,91,7.6,0.2,46.9,53.1
29Q037,CYNTHIA JENKINS SCHOOL                          ,2011-2012,67.7,2.3,10.6,0.9,91.2,6.4,0.9,51,49
29Q038,PS 038 ROSEDALE                                 ,2011-2012,79.8,3,16.9,1.1,90.2,6.4,1.9,53.8,46.2
29Q052,PS 052 QUEENS                                   ,2011-2012,73.3,5.7,11,2.6,87,8.9,0.7,50.6,49.4
29Q059,I S 059 SPRINGFIELD GARDENS                     ,2011-2012,52.3,1.1,14.3,0.3,94.4,5,0.3,48.2,51.8
29Q095,PS 095 EASTWOOD                                 ,2011-2012,77,29.3,8.3,44.7,14.7,37.1,1.8,51,49
29Q109,JEAN NUZZI INTERMEDIATE SCHOOL                  ,2011-2012,53.4,5.9,12.9,34.9,37.5,21.9,2.2,52.9,47.1
29Q116,PS 116 WILLIAM C. HUGHLEY                       ,2011-2012,78.4,9.5,9.9,5.8,68.4,21.2,2.7,48.7,51.3
29Q118,PS 118 LORRAINE HANSBERRY                       ,2011-2012,72.1,5.6,13.6,1.7,86.2,9.8,1.8,44.9,55.1
29Q131,PS 131 ABIGAIL ADAMS                            ,2011-2012,86.7,22.6,5.7,74.2,10.4,9.2,5.1,49,51
29Q132,PS 132 RALPH BUNCHE                             ,2011-2012,56.5,1.3,9.1,0,92.1,5.6,0.5,49.5,50.5
29Q134,PS 134 HOLLIS                                   ,2011-2012,81.2,12.2,16.7,5.3,85.4,7.1,2,53.5,46.5
29Q135,THE BELLAIRE SCHOOL                             ,2011-2012,76.7,9.9,10.1,37.6,33.1,20.4,5.4,52.1,47.9
29Q136,PS 136 ROY WILKINS                              ,2011-2012,75.8,3.7,10.6,0,90.1,5.7,1,48,52
29Q138,PS 138 SUNRISE                                  ,2011-2012,81.8,3.3,7.4,2.2,89,5.8,2.3,51,49
29Q147,PS 147 RONALD MCNAIR                            ,2011-2012,54.6,4.7,8.9,1.1,94.4,3.6,0.9,51.8,48.2
29Q156,PS 156 LAURELTON                                ,2011-2012,47.8,2.9,15.3,0.3,91.1,6.9,1.5,52.2,47.8
29Q176,PS 176 CAMBRIA HEIGHTS                          ,2011-2012,80.3,2.2,5.6,2.6,92.9,2.7,1.7,47.2,52.8
29Q181,PS 181 BROOKFIELD                               ,2011-2012,69.7,5.4,13.7,1,90.4,6.1,2,57.1,42.9
29Q192,IS 192 THE LINDEN                               ,2011-2012,73,5.8,21,1.1,93.9,4.1,0.5,48.8,51.2
29Q195,PS 195 WILLIAM HABERLE                          ,2011-2012,78.2,2.7,13.7,2,91.6,5,1.1,48.6,51.4
29Q208,P.S./I.S. 208                                   ,2011-2012,41.8,2.1,12.4,9.3,77.9,9.7,2.5,49.7,50.3
29Q231,IS 231 MAGNETECH 2000                           ,2011-2012,63.9,5.2,18.4,0.6,92.4,6.1,0.6,52.8,47.2
29Q238,I S 238 SUSAN B ANTHONY                         ,2011-2012,69.7,11.9,12.1,25.9,44.5,24.9,1.6,48.9,51.1
29Q248,QUEENS PREPARATORY ACADEMY                      ,2011-2012,52.6,4.5,11.3,5.2,84.4,8.2,0.9,56,44
29Q251,PS 251 QUEENS                                   ,2011-2012,60.2,0.6,12.9,1.2,93.7,2.1,2.4,52,48
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE B,2011-2012,48.8,2.3,16,2.2,94.2,2.9,0.7,53.3,46.7
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL               ,2011-2012,50.8,2.3,14.7,4.3,82.8,9.7,0.5,56.9,43.1
29Q268,P.S. 268                                        ,2011-2012,63.5,6.9,14.8,24,50.2,20.4,1.1,51.2,48.8
29Q270,P.S. 270                                        ,2011-2012,44.5,0.4,11.7,1.6,93.3,2.7,1.2,44.7,55.3
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCI,2011-2012,45,1.7,9.1,9.3,73.8,14.1,1.3,47.3,52.7
