dbn,name,year,freelunch,ell,sped,asian,black,hisp,white,male,female
02M059,PS 059 BEEKMAN HILL INTL                        ,2011-2012,16.5,9,13.5,13.5,5.2,15.6,59,52.7,47.3
02M077,PS 77 LOWER LAB SCHOOL                          ,2011-2012,5.7,0,13.7,14.8,3.1,8.3,68.7,45,55
02M089,PS 89                                           ,2011-2012,6.7,3.8,13.4,16.4,3.2,12.1,63.3,51.6,48.4
02M104,JHS 104 SIMON BARUCH                            ,2011-2012,61.8,6.4,15.6,55.6,9.7,17.5,16.2,54.3,45.7
02M111,PS 111 ADOLPH S OCHS                            ,2011-2012,64.9,19.3,26.6,10.6,14.5,60.8,13.3,47.3,52.7
02M114,EAST SIDE MIDDLE SCHOOL                         ,2011-2012,10.6,0.2,14.3,15.4,2.2,11.8,70.5,42.2,57.8
02M116,PS 116 MARY LINDLEY MURRAY                      ,2011-2012,23.7,5.8,12.4,20.9,9,20.2,45,49.4,50.6
02M124,PS 124 YUNG WING                                ,2011-2012,60.8,23.7,8.3,92.4,2.8,3.5,1.1,52.4,47.6
02M126,PS 126 JACOB AUGUST RIIS                        ,2011-2012,66.5,20,15.7,53,8.4,24.7,13.6,52.1,47.9
02M130,PS 130 HERNANDO DESOTO                          ,2011-2012,65.7,16.8,10.9,87.7,1.2,5,3.8,52,48
02M131,I S 131                                         ,2011-2012,86.3,45.9,18.7,79.7,6.7,12.6,1.1,55.9,44.1
02M150,PS 150                                          ,2011-2012,11.4,2.2,13.4,15.1,5.9,13.4,62.9,48.9,51.1
02M151,PS 151                                          ,2011-2012,32.2,6.1,15.4,8.9,11.8,29.3,48.6,51.4,48.6
02M158,PS 158 BAYARD TAYLOR                            ,2011-2012,15.2,4.2,19.4,9.2,2.9,13.3,71.1,52,48
02M167,JHS 167 ROBERT F WAGNER                         ,2011-2012,37.2,5.1,15.6,27,10.1,23.6,38.7,53.6,46.4
02M183,PS 183 ROBERT L STEVENSON                       ,2011-2012,9.8,5.4,16.6,16.3,5.1,11.8,62.1,55.8,44.2
02M198,PS 198 ISADOR E IDA STRAUS                      ,2011-2012,61.3,7.6,19.2,11.4,19.4,42.3,25,54.1,45.9
02M212,PS 212 MIDTOWN WEST                             ,2011-2012,19.8,3.8,11.1,12,11.7,20.7,49.6,49.3,50.7
02M217,PS 217/IS 217 ROOSEVELT IS.                     ,2011-2012,37.2,9.4,10.1,24.5,26.2,22.4,26.9,45,55
02M225,ELLA BAKER SCHOOL                               ,2011-2012,35.5,3.1,10,5.9,27.4,48.6,15.6,43,57
02M234,PS 234 INDEPENDENCE SCHOOL                      ,2011-2012,6.4,0.7,12.7,13.7,2.9,8,70.6,50.4,49.6
02M255,MS 255 SALK SCHOOL OF SCIENCE                   ,2011-2012,16.2,0.3,13,17.6,4.4,12.7,63.7,45.9,54.1
02M260,MS 260 CLINTON SCHL WRITERS &                   ,2011-2012,26,3.9,23.4,10.9,12.1,22.7,52.3,33.6,66.4
02M267,P.S. 267                                        ,2011-2012,10.9,8.2,10.2,10.2,5.1,12.2,69.4,51,49
02M276,BATTERY PARK CITY SCHOOL                        ,2011-2012,7.4,3.8,10.3,22.5,5.6,12.7,49.7,48.5,51.5
02M288,FOOD AND FINANCE HIGH SCHOOL                    ,2011-2012,68.4,2.1,18.5,3,44.1,47.6,4.8,45,55
02M289,IS 289                                          ,2011-2012,37.3,2.4,16.8,39.7,8.2,17.8,31.8,47.6,52.4
02M290,PS 290 MANHATTAN NEW SCHOOL                     ,2011-2012,9.3,3.5,12.3,13.9,3.3,8.5,71.3,50.4,49.6
02M294,HIGH SCHOOL FOR HISTORY & COMMUNICATION         ,2011-2012,60.8,3.8,20.4,4.1,27.7,60.6,7.6,53.4,46.6
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT           ,2011-2012,72.4,9.5,14.8,5.3,26.5,66.1,2.1,32.2,67.8
02M298,PACE HIGH SCHOOL                                ,2011-2012,56.7,2.2,13.8,10.1,32.4,42,3.9,43.7,56.3
02M300,URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION,2011-2012,75.3,10.9,20,6,29.2,59.2,4.9,74.9,25.1
02M303,THE FACING HISTORY SCHOOL                       ,2011-2012,75.6,20.8,21.7,0.7,23.5,73.2,2.4,50.6,49.4
02M305,THE URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW,2011-2012,68.3,6.1,17,3.8,41.7,50.6,3.5,43.9,56.1
02M308,LOWER MANHATTAN ARTS ACADEMY                    ,2011-2012,62.2,3.9,24.7,9.5,30.7,55.7,3.6,39.9,60.1
02M312,NYC LAB MS FOR COLL. STUDIES                    ,2011-2012,29.2,0.2,11.8,44.5,3.8,10.8,33.7,51.1,48.9
02M313,THE JAMES BALDWIN SCHOOL: A SCHOOL FOR EXPEDITIO,2011-2012,51,4.8,12.9,4,34.3,54.4,6.5,52.4,47.6
02M316,THE URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG ,2011-2012,74.9,2.6,15.6,3.4,46.8,48.4,1.3,0,100
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SC,2011-2012,76,9.3,32.6,4.2,21.9,48.4,22.8,49.8,50.2
02M374,GRAMERCY ARTS HIGH SCHOOL                       ,2011-2012,59,3,12.3,2.8,45.3,45.1,6.7,26.3,73.7
02M376,NYCISCHOOL                                      ,2011-2012,34.6,0.5,10.9,11.5,20.6,43,24,48.7,51.3
02M392,MANHATTAN BUSINESS ACADEMY                      ,2011-2012,64,9.9,13.9,6.6,29.5,58.7,4.8,59,41
02M393,THE BUSINESS OF SPORTS SCHOOL                   ,2011-2012,58.7,7.6,21.4,1.6,35.5,57.2,4.3,72.4,27.6
02M394,EMMA LAZARUS HIGH SCHOOL                        ,2011-2012,97,82.8,0,62.4,7.2,26.4,4,51.2,48.8
02M397,SPRUCE STREET SCHOOL                            ,2011-2012,5.6,3.2,3.2,19.4,2.4,14.6,52.6,54.2,45.8
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY      ,2011-2012,80.8,28.3,16.8,44.3,15.6,32.8,5.3,48,52
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES           ,2011-2012,56.4,7.1,14.4,16.7,14.8,57.2,11.1,50.4,49.6
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION           ,2011-2012,17.9,0.4,8.8,6.3,10.2,17.6,54.6,55.2,44.8
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL        ,2011-2012,23.5,2,3.2,7,19.1,23.7,41.8,25.3,74.7
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL               ,2011-2012,54.6,1.6,2.3,60.6,5.8,14.6,18.8,44,56
02M412,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES        ,2011-2012,21.6,1.6,15,29.4,8.5,14,45.9,47,53
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL                ,2011-2012,31,2.1,14.6,16,12.3,26,38,50.8,49.2
02M414,NYC MUSEUM SCHOOL                               ,2011-2012,51.6,0.5,9.4,33,11.7,39.9,15.4,42.4,57.6
02M416,ELEANOR ROOSEVELT HIGH SCHOOL                   ,2011-2012,15.8,0.2,1.2,17.2,5.5,11.6,63.7,32.5,67.5
02M418,MILLENNIUM HIGH SCHOOL                          ,2011-2012,32.7,0.2,9.1,30,8.8,21.7,35.9,38.2,61.8
02M419,LANDMARK HIGH SCHOOL                            ,2011-2012,83.1,15.7,18.8,5.2,18.1,74.8,1.9,48.5,51.5
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SER,2011-2012,68,4,10.9,20.5,24.4,49.7,5.3,29.4,70.6
02M422,QUEST TO LEARN                                  ,2011-2012,40.6,2.2,22.8,4.7,26.3,28.9,38.4,64.7,35.3
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL       ,2011-2012,74.2,5.4,18.6,8.1,30.5,54.2,6.6,46.1,53.9
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE           ,2011-2012,97.5,86.9,6.9,6.3,8,84.6,1.1,54.9,45.1
02M429,LEGACY SCHOOL FOR INTEGRATED STUDIES            ,2011-2012,93.9,8.2,22.4,1.4,45.2,51.4,1.7,49,51
02M432,MURRAY HILL ACADEMY                             ,2011-2012,78,7.5,27.1,7.9,41.1,45.3,4.2,53.7,46.3
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES     ,2011-2012,61.5,8.8,16.4,5.8,23.5,62.4,6.6,60.6,39.4
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE       ,2011-2012,82.8,94.9,0.6,40.3,12.5,43.2,3.4,61.4,38.6
02M439,MANHATTAN VILLAGE ACADEMY                       ,2011-2012,60.3,3.7,8.2,6.3,16.8,71.8,4.9,38.5,61.5
02M440,BAYARD RUSTIN EDUCATIONAL COMPLEX               ,2011-2012,75.5,26,13.5,6.3,27.9,62.5,2.4,63.9,36.1
02M442,BALLET TECH / NYC PUBLIC SCHOOL FOR DANCE       ,2011-2012,50.7,2.6,1.3,28.6,32.5,22.7,14.3,44.8,55.2
02M449,VANGUARD HIGH SCHOOL                            ,2011-2012,69.5,6.1,17.3,9.9,25.7,59,4.5,46.2,53.8
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL             ,2011-2012,80.7,77.5,0.3,33.5,14.8,36.9,14.5,44.3,55.7
02M460,WASHINGTON IRVING HIGH SCHOOL                   ,2011-2012,66,18.6,17.2,4.8,34.3,58.2,2.3,47.5,52.5
02M475,STUYVESANT HIGH SCHOOL                          ,2011-2012,30.3,0,0.4,72.1,1.2,2.4,23.7,59.3,40.7
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE            ,2011-2012,60.8,6.3,11.9,24.8,22.5,43.5,8.8,54.5,45.5
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES             ,2011-2012,83.5,15.6,32.9,3.8,35,55.3,2.5,62.4,37.6
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLO      ,2011-2012,60,8.7,19.8,7.1,40.5,46.8,4.8,73.8,26.2
02M519,TALENT UNLIMITED HIGH SCHOOL                    ,2011-2012,45.5,0.2,3.5,4.5,36,39.3,19.8,21.4,78.6
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,2011-2012,72.7,10.2,14.1,10.5,39.9,46.6,2.3,49.1,50.9
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL          ,2011-2012,73,9.8,13.7,5.1,22.7,69.9,1.8,40.6,59.4
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS  ,2011-2012,65.3,0.5,5.1,1.4,47.9,42.4,7.4,21.2,78.8
02M542,MANHATTAN BRIDGES HIGH SCHOOL                   ,2011-2012,83.5,72.6,1.7,0.2,0,99.8,0,51.4,48.6
02M543,NEW DESIGN HIGH SCHOOL                          ,2011-2012,66.1,5.4,17.5,3.8,30.3,62.2,2.6,38.3,61.7
02M544,INDEPENDENCE HIGH SCHOOL                        ,2011-2012,74.4,3.8,11.5,4.3,33.5,59.6,2,51.2,48.8
02M545,HIGH SCHOOL FOR DUAL LANGUAGE & ASIAN STUDIES   ,2011-2012,82.6,38.2,2.3,89.5,3.4,4,2.3,51.3,48.7
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS       ,2011-2012,79.5,90.2,2,25.7,19.9,42.1,11.8,61,39
02M551,NEW YORK HARBOR SCHOOL                          ,2011-2012,73.5,4.2,17.9,2.3,37.4,49.3,10.2,60.9,39.1
02M560,HIGH SCHOOL M560 - CITY AS SCHOOL               ,2011-2012,38.1,1.3,9.3,4.8,37.7,38.8,17.4,43.6,56.4
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL            ,2011-2012,32.1,1.3,0,5.1,33.8,38.2,20.4,40.8,59.2
02M570,SATELLITE ACADEMY HIGH SCHOOL                   ,2011-2012,72.8,6.5,14.1,1.6,35.1,59.7,2.8,38.7,61.3
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOO,2011-2012,85.6,60,2.4,35.3,31,28.3,5,56.1,43.9
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING        ,2011-2012,67,6.4,21.8,2.3,35.1,59.3,2.3,32.6,67.4
02M586,HARVEY MILK HIGH SCHOOL                         ,2011-2012,75.7,1.5,22.1,5.9,38.2,39.7,16.2,47.1,52.9
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES           ,2011-2012,68.3,2.8,11.5,3.8,39.1,52.3,4.1,7.3,92.7
02M605,HUMANITIES PREPARATORY ACADEMY                  ,2011-2012,54,1,6.8,7.3,21.9,57.8,11.5,42.7,57.3
02M615,CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHO,2011-2012,69.8,6.2,15.7,7.1,29.6,60.5,1.5,65,35
02M620,NORMAN THOMAS HIGH SCHOOL                       ,2011-2012,81.1,19.3,15.5,1.6,25.6,70.6,2,52,48
02M625,HIGH SCHOOL OF GRAPHIC COMMUNICATION ARTS       ,2011-2012,72.7,9.1,17.2,3.1,30.3,63.8,2.6,46.5,53.5
02M630,ART AND DESIGN HIGH SCHOOL                      ,2011-2012,53.3,1.6,11.1,9,26.8,51,12.6,46.7,53.3
02M655,LIFE SCIENCES SECONDARY SCHOOL                  ,2011-2012,70.3,7.9,19.7,3.3,28.6,64.3,2.4,51.6,48.4
02M896,GREENWICH VILLAGE                               ,2011-2012,50.4,10,23.2,29.1,24.6,29.4,13.5,52.9,47.1
03M009,PS 009 SARAH ANDERSON                           ,2011-2012,19.1,5.6,8.9,8.3,8.6,19.7,59.8,46.4,53.6
03M054,JHS 054 B00KER T.WASHINGTON                     ,2011-2012,29,3.4,9.7,8.2,17.2,16.4,52.2,51.3,48.7
03M075,PS 075 EMILY DICKINSON                          ,2011-2012,57.5,15.4,15.7,4.6,26.5,52,15.6,53.1,46.9
03M076,PS 076 A. PHILIP RANDOLPH                       ,2011-2012,84.9,7.4,13,0.6,79.4,18.7,1.1,45.1,54.9
03M084,PS 084 LILLIAN WEBER                            ,2011-2012,53.7,7.8,11.9,2.7,22.1,45.4,28,50.9,49.1
03M087,PS 087 WILLIAM SHERMAN                          ,2011-2012,10.1,2.9,13.3,6.6,7.5,15.4,67.7,49.9,50.1
03M145,PS 145 BLOOMINGDALE SCHOOL                      ,2011-2012,75.8,19.8,19.8,2.2,27.6,63.6,6.1,45.8,54.2
03M149,PS 149 SOJOURNER TRUTH                          ,2011-2012,77.5,7,23.8,1.3,62.7,25.6,0.8,49.6,50.4
03M163,PS 163 ALFRED E SMITH                           ,2011-2012,47.7,9,13.1,5.5,21.7,45.9,25.2,51.9,48.1
03M165,PS 165 ROBERT E SIMON                           ,2011-2012,73.7,20.7,17.6,3.4,16,71.7,7.7,53.3,46.7
03M166,PS 166 THE RICHARD ROGERS SCHOOL OF THE ARTS AND,2011-2012,31.3,5,9.9,8.7,12,24.3,52.5,48.2,51.8
03M180,PS 180 HUGO NEWMAN                              ,2011-2012,71.6,5.9,8.6,2.1,62,25.6,7.2,51.2,48.8
03M185,PS 185 JOHN M.LANGSTON                          ,2011-2012,76.4,11.4,14.3,1.3,60.3,35.9,1.7,46.4,53.6
03M191,PS 191 AMSTERDAM                                ,2011-2012,68,8.6,16.6,7.3,36.8,45.7,8.7,51.7,48.3
03M199,PS 199 JESSIE ISADOR STRAUS                     ,2011-2012,9.3,2.8,13.4,11.2,3.7,11.4,68.3,51.9,48.1
03M208,PS 208 ALAIN L LOCKE                            ,2011-2012,79.8,12.5,27.5,1.5,65.5,31.5,1,53.5,46.5
03M241,PS 241 FAMILY ACADEMY                           ,2011-2012,88.3,24.8,24.8,4.4,57.5,38.1,0,52.2,47.8
03M242,PS242M G. P. BROWN COMP. SCHL.                  ,2011-2012,75.8,6.8,18,0.3,71.2,22.4,3.4,49.2,50.8
03M243,MS 243 CENTER SCHOOL                            ,2011-2012,14,0.9,2.3,7.7,15.4,13.6,62.9,50.7,49.3
03M245,MS 245M THE COMPUTER SCHOOL                     ,2011-2012,28.2,2,12.7,9,20.9,25.4,44.3,42,58
03M247,MS 247M DUAL LANGUAGE MID. SCH                  ,2011-2012,89.4,26.1,21.7,0,1.5,98.5,0,47.3,52.7
03M250,MS 250 WEST SIDE COLLAB. M.S.                   ,2011-2012,64.4,9.6,27.7,1.1,35,57.6,6.2,47.5,52.5
03M256,MS 256 ACAD. & ATHL. EXCELLENC                  ,2011-2012,81.6,16,27.8,0,49.1,48.5,2.4,55.6,44.4
03M258,MS 258 COMMUNITY ACTION SCHL.                   ,2011-2012,67.3,6.5,28.5,0.4,51.2,45.9,2.4,43.5,56.5
03M283,MANHATTAN THEATRE LAB HIGH SCHOOL               ,2011-2012,59.6,8.6,10.5,1.7,46,49.4,2.2,31.8,68.2
03M299,HIGH SCHOOL FOR ARTS IMAGINATION AND INQUIRY    ,2011-2012,66.4,14.4,19.6,1,37.3,58.9,1.4,55.7,44.3
03M307,THE URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES     ,2011-2012,68.8,12.8,15.3,2.2,37.4,56,3,57.9,42.1
03M333,PS 333 MANHATTAN SCHOOL FOR CHILDREN            ,2011-2012,20.6,2.5,15.8,6.9,13.6,21.7,56.9,50.2,49.8
03M334,THE ANDERSON SCHOOL                             ,2011-2012,4.6,0.4,0.7,23.7,7.7,9,59.1,49.9,50.1
03M402,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS     ,2011-2012,73.2,25.1,21.6,1.8,19.8,76,1.8,56.9,43.1
03M403,THE GLOBAL LEARNING COLLABORATIVE               ,2011-2012,68.4,19.3,19.3,3.6,27.7,62.6,5.9,51.4,48.6
03M404,INNOVATION DIPLOMA PLUS                         ,2011-2012,50.4,3.5,10.1,48.7,33.2,16.6,1.5,47.7,52.3
03M415,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & V,2011-2012,76.6,7.4,18.8,0.4,59.9,38.8,0.8,38.4,61.6
03M417,FRANK MCCOURT HIGH SCHOOL                       ,2011-2012,24,0.9,17.4,6.8,18.3,37,37,46.6,53.4
03M421,WEST PREP ACADEMY                               ,2011-2012,57.6,7.9,24.9,2.6,52.9,38.6,5.8,51.3,48.7
03M452,P.S. 452                                        ,2011-2012,16.4,0.8,18.5,12.9,11.3,11.3,64.5,54.8,45.2
03M470,LOUIS D. BRANDEIS HIGH SCHOOL                   ,2011-2012,68.6,27.8,10.7,2.1,29.6,67.4,1,50.5,49.5
03M479,BEACON HIGH SCHOOL                              ,2011-2012,18.4,0.2,3.7,8.9,14.6,22.8,49.8,39,61
03M485,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART,2011-2012,21.7,0.2,1,19.6,12.9,16.6,49.2,26.4,73.6
03M492,HIGH SCHOOL FOR LAW ADVOCACY AND COMMUNITY JUSTI,2011-2012,79.9,10.5,15.5,1.3,46.2,48.1,1.8,40.1,59.9
03M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY              ,2011-2012,79.8,10.4,17.2,5,34.8,57.2,2.3,67.7,32.3
03M505,EDWARD A.REYNOLDS WEST SIDE HIGH  SCHOOL        ,2011-2012,70.5,7.8,23,0.5,34.6,64.4,0.5,44.3,55.7
03M541,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL            ,2011-2012,55.2,1.3,3.8,25.6,21.4,41.5,10.2,41.1,58.9
03M859,SPECIAL MUSIC SCHOOL                            ,2011-2012,3.7,1.4,2.9,23.2,7.2,8.7,55.1,46.4,53.6
03M860,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL  ,2011-2012,64.2,5.8,20.8,0.7,77.7,18.9,1.5,54.2,45.8
03M862,MOTT HALL II                                    ,2011-2012,34.5,2.2,14.5,5.7,27.4,47,18.6,51.7,48.3
04M007,PS 007 SAMUEL STERN                             ,2011-2012,78,17.3,13.8,2,28.3,65.9,3,49.9,50.1
04M012,TAG YOUNG SCHOLARS                              ,2011-2012,47.9,0,2,19.2,46.1,29.1,4.4,43.8,56.2
04M013,JHS 013 JACKIE ROBINSON                         ,2011-2012,75.3,9,30.9,2.1,36.9,58.4,1.3,58.4,41.6
04M037,RIVER EAST                                      ,2011-2012,74,8.6,19.3,0.9,47.6,46.4,1.3,47.6,52.4
04M038,PS 38 ROBERTO CLEMENTE                          ,2011-2012,79.1,15,24.8,6.9,29.6,60.2,2.6,51.5,48.5
04M045,JHS 045 JOHN C ROBERTS                          ,2011-2012,90.1,21.7,29.5,1.6,32.8,64.3,0.4,57.8,42.2
04M050,PS 050 VITO MARCANTONIO                         ,2011-2012,83.7,11.4,35.6,3.2,36.3,59.9,0.6,55.5,44.5
04M057,JAMES WELDON JOHNSON                            ,2011-2012,86.1,15.3,21,3.5,26,68.5,1.7,51,49
04M072,PS 072                                          ,2011-2012,88,25.1,21.5,0.2,8.3,87.7,3,49.2,50.8
04M083,PS 083 LUIS MUNOZ RIVERA                        ,2011-2012,75.6,13,11.8,9.5,26.6,60.9,2.3,48.8,51.2
04M096,PS 096 JOSEPH LANZETTA                          ,2011-2012,87.1,16.4,20.4,1.3,24.6,71.2,1.9,52.7,47.3
04M102,PS 102 JACQUES CARTIER                          ,2011-2012,95.4,16,32,3,24.7,67.7,2.7,55.7,44.3
04M108,PS 108 ASSMBLY ANGELO DEL TORO                  ,2011-2012,87.3,13.2,17.1,4.8,27.7,65.4,1.4,49,51
04M112,PS 112 JOSE CELSO BARBOSA                       ,2011-2012,85.8,22.3,27.6,3.3,25.5,59.3,6.8,59.9,40.1
04M146,PS 146 ANN M SHORT                              ,2011-2012,90.3,24.9,45.4,3.2,23,71.7,1.5,55.3,44.7
04M155,PS 155 WILLIAM PACA                             ,2011-2012,93.4,37.5,19.7,3.7,14.6,81.1,0.6,54.9,45.1
04M171,PS 171 PATRICK HENRY                            ,2011-2012,78.8,3,14.6,4.7,28.5,62.8,2.1,53.7,46.3
04M182,THE BILINGUAL BICULTURAL SCHL                   ,2011-2012,98.4,28.2,7.9,1.1,8.5,90.1,0.3,48.2,51.8
04M206,PS 206 JOSE CELSO BABOSA                        ,2011-2012,88,14.7,35.3,1.2,28.8,63.5,6.4,53.7,46.3
04M224,MS 224 MANH. E.SCHOOL. ARTS&ACAD                ,2011-2012,42,1.6,8.5,6.9,36,42.9,13,41.7,58.3
04M372,ESPERANZA PREPATORY ACADEMY                     ,2011-2012,89.3,25.5,33.7,1.2,24.7,72,1.2,51.4,48.6
04M375,MOSAIC PREPARATORY ACADEMY                      ,2011-2012,81.2,12,26.2,1.8,35.4,55.4,1.5,54.8,45.2
04M377,RENAISSANCE SCHOOL OF THE ARTS                  ,2011-2012,74.9,5.2,33,1.5,45.4,51,1,53.1,46.9
04M381,GLOBAL NEIGHBORHOOD SECONDARY SCHOOL            ,2011-2012,84.8,11.7,31.8,3.4,34.1,55.9,5.6,57.5,42.5
04M406,GLOBAL TECHNOLOGY PREPARATORY                   ,2011-2012,70.5,7.1,27.4,2.4,47.6,47.6,1.2,56,44
04M409,COALITION SCHOOL FOR SOCIAL CHANGE              ,2011-2012,71.8,9.7,24.4,0.9,39.3,58.7,0.9,44.4,55.6
04M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS    ,2011-2012,71.6,2.7,5.8,20.1,19.7,57.4,2.2,46.4,53.6
04M495,PARK EAST HIGH SCHOOL                           ,2011-2012,76.8,4.3,10.6,4.9,33.2,59.6,0.3,42.1,57.9
04M497,CENTRAL PARK EAST I                             ,2011-2012,42.4,1.9,16.3,7.2,28.8,33.2,25.5,49.5,50.5
04M555,CENTRAL PARK EAST SECONDARY HIGH SCHOOL         ,2011-2012,70.4,4,13.5,6.5,26.7,64.5,1.6,32.1,67.9
04M610,YOUNG WOMEN'S LEADERSHIP SCHOOL                 ,2011-2012,67.3,2.2,6.7,5.1,31.2,60.1,1.6,0,100
04M635,ACADEMY OF ENVIRONMENTAL SCIENCE SECONDARY HIGH ,2011-2012,62.7,13.5,18.8,4.2,27.6,65.6,2.1,62,38
04M680,THE HERITAGE SCHOOL                             ,2011-2012,71.8,6.8,24.8,0.3,28.9,69.4,1,48.6,51.4
04M825,ISAAC NEWTON JHS FOR SCIENCE & MATH             ,2011-2012,68.5,12,16.5,3.4,22.6,72.6,1.4,53.9,46.1
04M964,CENTRAL PARK EAST II                            ,2011-2012,61.1,2.1,16.2,2.9,41.2,26.2,22.1,48.7,51.2
05M030,PS 030 HERNANDEZ/HUGHES                         ,2011-2012,81.5,11.1,28.5,0,52.5,43.9,3.3,49.8,50.2
05M036,PS 036 MARGARET DOUGLAS                         ,2011-2012,73.3,11.6,17.8,0.8,53.8,43.8,1.1,48.2,51.8
05M046,PS 046 ARTHUR TAPPAN                            ,2011-2012,94.8,10.9,15.9,1.1,51.5,46.1,0.8,50.6,49.4
05M092,PS 092 MARY MCLEOD BETHUNE                      ,2011-2012,87.6,14.3,21.4,2.1,62.1,32.9,1.8,53.2,46.8
05M123,PS 123 MAHALIA JACKSON                          ,2011-2012,82.8,23.7,13.2,1,60.1,35.2,2.7,44.4,55.6
05M125,PS 125 RALPH BUNCHE                             ,2011-2012,79.8,15.4,20.4,4.5,45.3,39.8,4,50.7,49.3
05M129,PS 129 JOHN H FINLEY                            ,2011-2012,83.1,9.1,15.3,1.6,46.6,48.1,2.7,48.9,51.1
05M133,PS 133 FRED R MOORE                             ,2011-2012,81.6,8.5,20.8,3.2,63.4,29.9,0.7,54.2,45.8
05M154,PS 154 HARRIET TUBMAN                           ,2011-2012,89.7,16.4,20.1,1.6,63,31.6,2.9,50.4,49.6
05M161,PS 161 PEDRO ALBIZU CAMPOS                      ,2011-2012,97.3,30.6,16.8,2.1,14.9,80.4,1.7,53.2,46.8
05M175,PS 175 HENRY H GARNET                           ,2011-2012,87.9,9.9,7.6,1,69.7,27.9,0.5,43.6,56.4
05M194,PS 194 COUNTEE CULLEN                           ,2011-2012,95.9,17.2,23.9,1.4,60.7,33,3.2,51.6,48.4
05M195,I S 195 ROBERTO CLEMENTE                        ,2011-2012,82.9,37.2,30.9,4.3,45.9,47.3,2.4,55.6,44.4
05M197,PS 197 JOHN B RUSSWURM                          ,2011-2012,78.4,7.7,19.9,0.6,66.4,26.5,4.6,53.3,46.7
05M200,PS 200 JAMES M SMITH                            ,2011-2012,77.4,17.5,20.7,0.4,59.6,36.8,2.7,54.3,45.7
05M285,HARLEM RENAISSANCE HIGH SCHOOL                  ,2011-2012,67.6,9.5,10.8,0.5,62.2,36.9,0.5,39.2,60.8
05M286,IS 286 RENAISSANCE MIL/LDRSHP                   ,2011-2012,82.7,12.7,20.8,0.8,61,36.9,0.8,57.2,42.8
05M302,KAPPA IV                                        ,2011-2012,76.6,10.4,17.7,1,52.6,43.8,2.1,53.6,46.4
05M304,MOTT HALL HIGH SCHOOL                           ,2011-2012,78.5,8.7,15.5,0.9,35,63.8,0.2,53.5,46.5
05M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL          ,2011-2012,53.6,0.5,9.4,0.5,86.8,10.4,0.9,49.1,50.9
05M362,COLUMBIA SECONDARY SCHOOL                       ,2011-2012,46.3,0.6,0.4,11.6,20,48.5,18.4,49.6,50.4
05M367,ACADEMY FOR SOCIAL ACTION                       ,2011-2012,67,9.9,21.6,0.5,61.4,38.1,0,48.7,51.3
05M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS   ,2011-2012,77.7,6.1,16.6,0.5,59.1,38.2,0.8,25.4,74.6
05M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIE,2011-2012,76.7,8.7,29.4,0,77.5,21.9,0,65.6,34.4
