dbn,dropoutpercent
02M412,3.5999999999999996
02M412,3.5999999999999996
02M412,3.5999999999999996
02M412,3.9
02M412,3.9
02M412,3.9
02M412,4.8
02M412,4.8
02M412,4.9
02M412,7.9
02M412,9.8
02M412,9.8
02M412,8.3
02M412,9.0
02M412,9.8
02M412,10.600000000000001
02M412,7.199999999999999
02M412,11.299999999999999
02M412,12.399999999999999
02M412,12.399999999999999
02M412,2.9000000000000004
02M412,2.9000000000000004
02M413,0.0
02M413,0.0
02M413,1.4
02M413,4.1
02M413,5.5
02M413,5.5
02M413,3.3000000000000003
02M413,6.5
02M413,6.5
02M413,0.0
02M413,1.1
02M413,3.3
02M413,2.4
02M413,2.4
02M413,4.8
02M413,6.0
02M413,2.1
02M413,2.1
02M413,1.1
02M413,1.1
02M413,4.5
02M413,4.5
02M414,0.0
02M414,0.0
02M414,0.0
02M414,12.5
02M414,17.799999999999997
02M414,19.6
02M414,13.399999999999999
02M414,19.2
02M414,21.1
02M414,18.7
02M414,19.7
02M414,19.7
02M414,14.0
02M414,14.0
02M414,14.7
02M414,14.7
02M414,15.1
02M414,17.0
02M414,17.0
02M414,17.9
02M414,2.0
02M414,3.1
02M416,
02M416,
02M416,
02M416,2.0
02M416,3.0
02M416,3.0
02M416,0.9
02M416,0.9
02M416,0.9
02M416,3.8
02M416,3.8
02M416,3.8
02M416,0.9
02M416,0.9
02M416,0.9
02M416,0.9
02M416,0.8
02M416,0.8
02M416,0.8
02M416,0.8
02M416,0.0
02M416,0.0
02M418,16.5
02M418,20.9
02M418,20.9
02M418,13.0
02M418,15.9
02M418,15.9
02M418,13.3
02M418,13.6
02M418,13.6
02M418,10.6
02M418,13.0
02M418,13.0
02M418,13.0
02M418,4.0
02M418,6.0
02M418,6.7
02M418,6.7
02M418,4.1
02M418,6.2
02M419,70.89999999999999
02M419,88.60000000000001
02M419,97.4
02M419,76.9
02M419,91.6
02M419,94.80000000000001
02M419,83.4
02M419,93.6
02M419,98.69999999999999
02M419,64.0
02M419,95.8
02M419,95.9
02M419,68.3
02M419,68.3
02M419,76.5
02M419,76.5
02M419,13.8
02M419,13.8
02M419,21.5
02M419,21.5
02M419,16.8
02M419,16.8
02M420,19.5
02M420,26.4
02M420,28.299999999999997
02M420,25.8
02M420,30.9
02M420,31.9
02M420,33.8
02M420,42.3
02M420,44.6
02M420,13.8
02M420,19.2
02M420,22.0
02M420,12.200000000000001
02M420,13.700000000000001
02M420,18.200000000000003
02M420,20.6
02M420,11.7
02M420,13.5
02M420,16.599999999999998
02M420,17.2
02M420,7.3
02M420,9.3
02M425,69.2
02M425,76.7
02M425,79.1
02M425,46.3
02M425,50.5
02M425,51.3
02M425,45.9
02M425,52.900000000000006
02M425,58.3
02M425,49.0
02M425,55.1
02M425,60.3
02M425,51.8
02M425,59.5
02M425,68.30000000000001
02M425,68.8
02M425,29.9
02M425,34.8
02M425,42.1
02M425,42.1
02M425,21.8
02M425,23.8
02M429,49.3
02M429,84.0
02M429,94.7
02M429,64.0
02M429,88.0
02M429,94.7
02M429,55.300000000000004
02M429,81.6
02M429,84.19999999999999
02M429,67.6
02M429,77.9
02M429,79.1
02M429,42.0
02M429,42.0
02M429,61.9
02M429,65.8
02M429,34.199999999999996
02M429,42.4
02M429,55.1
02M429,53.6
02M429,28.200000000000003
02M429,28.200000000000003
02M439,34.9
02M439,39.7
02M439,39.7
02M439,17.6
02M439,23.8
02M439,26.3
02M439,25.6
02M439,29.0
02M439,28.7
02M439,20.700000000000003
02M439,23.3
02M439,23.3
02M439,8.1
02M439,8.1
02M439,8.1
02M439,8.1
02M439,1.8
02M439,1.8
02M439,1.8
02M439,1.8
02M439,2.2
02M439,2.2
02M440,49.2
02M440,61.5
02M440,67.8
02M440,38.5
02M440,59.400000000000006
02M440,67.69999999999999
02M440,44.7
02M440,71.19999999999999
02M440,77.0
02M440,54.0
02M440,70.0
02M440,78.0
02M440,43.6
02M440,50.099999999999994
02M440,62.0
02M440,67.8
02M440,36.7
02M440,43.0
02M440,63.8
02M440,64.4
02M440,39.0
02M440,46.900000000000006
02M442,
02M442,
02M442,
02M442,
02M442,
02M442,
02M442,
02M442,
02M442,
02M442,
02M442,
02M442,
02M442,
02M442,
02M442,
02M442,
02M445,54.7
02M445,76.0
02M445,76.0
02M445,67.6
02M445,67.6
02M445,67.6
02M445,
02M445,
02M445,
02M445,
02M445,
02M445,
02M445,
02M445,
02M445,
02M445,
02M449,44.4
02M449,75.5
02M449,76.6
02M449,84.6
02M449,92.30000000000001
02M449,92.30000000000001
02M449,36.1
02M449,37.8
02M449,41.7
02M449,10.3
02M449,19.0
02M449,20.0
02M449,5.3
02M449,5.3
02M449,6.8
02M449,10.8
02M449,5.6
02M449,5.6
02M449,12.8
02M449,12.8
02M449,10.0
02M449,11.100000000000001
02M459,69.9
02M459,90.5
02M459,96.2
02M459,67.3
02M459,87.30000000000001
02M459,96.3
02M459,62.6
02M459,73.6
02M459,76.89999999999999
02M459,22.799999999999997
02M459,28.4
02M459,33.3
02M459,13.200000000000001
02M459,13.200000000000001
02M459,20.299999999999997
02M459,17.4
02M459,7.2
02M459,7.2
02M459,10.1
02M459,10.1
02M459,9.2
02M459,9.2
02M460,54.099999999999994
02M460,73.0
02M460,78.80000000000001
02M460,48.0
02M460,63.9
02M460,69.3
02M460,42.5
02M460,60.9
02M460,68.4
02M460,44.2
02M460,64.7
02M460,70.6
02M460,50.5
02M460,52.599999999999994
02M460,66.0
02M460,66.4
02M460,38.6
02M460,39.5
02M460,46.7
02M460,46.2
02M460,36.1
02M460,37.1
02M475,0.3
02M475,0.8
02M475,0.8
02M475,0.5
02M475,0.6
02M475,0.6
02M475,0.1
02M475,0.4
02M475,0.4
02M475,0.1
02M475,0.6
02M475,0.4
02M475,0.5
02M475,0.5
02M475,0.4
02M475,0.4
02M475,0.4
02M475,0.4
02M475,0.5
02M475,0.5
02M475,0.3
02M475,0.3
02M489,32.8
02M489,36.2
02M489,36.2
02M489,29.1
02M489,37.2
02M489,37.2
02M489,27.900000000000002
02M489,36.1
02M489,36.4
02M489,32.9
02M489,38.9
02M489,38.9
02M489,26.1
02M489,27.599999999999998
02M489,32.599999999999994
02M489,33.9
02M489,20.9
02M489,23.7
02M489,25.0
02M489,25.0
02M489,16.6
02M489,17.200000000000003
02M500,32.5
02M500,48.800000000000004
02M500,60.4
02M500,36.2
02M500,44.699999999999996
02M500,51.0
02M500,36.7
02M500,56.7
02M500,62.1
02M500,30.0
02M500,57.5
02M500,67.5
02M500,46.3
02M500,51.2
02M500,61.9
02M500,58.1
02M500,26.4
02M500,26.4
02M500,33.4
02M500,33.3
02M500,27.1
02M500,30.5
02M519,22.4
02M519,22.4
02M519,22.4
02M519,15.100000000000001
02M519,18.8
02M519,23.8
02M519,19.4
02M519,24.6
02M519,25.7
02M519,17.0
02M519,16.5
02M519,17.4
02M519,17.4
